country,player
Netherlands,M Levitt
Netherlands,MP O'Dowd
Netherlands,BFW de Leede
Netherlands,CN Ackermann
Netherlands,SA Edwards
Netherlands,ZB Lion-Cachet
Netherlands,LV van Beek
Netherlands,A Dutt
Netherlands,RE van der Merwe
Netherlands,K Klein
Netherlands,PA van Meekeren
Pakistan,Sahibzada Farhan
Pakistan,Saim Ayub
Pakistan,Agha Salman
Pakistan,Babar Azam
Pakistan,Usman Khan
Pakistan,Shadab Khan
Pakistan,Mohammad Nawaz
Pakistan,Shaheen Shah Afridi
Pakistan,Faheem Ashraf
West Indies,BA King
West Indies,SD Hope
West Indies,SO Hetmyer
West Indies,R Powell
West Indies,SE Rutherford
West Indies,MW Forde
West Indies,R Shepherd
Scotland,HG Munsey
Scotland,MA Jones
Scotland,BJ McMullen
Scotland,RD Berrington
Scotland,TC Bruce
Scotland,MH Cross
Scotland,MRJ Watt
Scotland,MA Leask
Scotland,O Davidson
Scotland,SM Sharif
Scotland,BJ Currie
India,Ishan Kishan
India,Abhishek Sharma
India,Tilak Varma
India,SA Yadav
India,S Dube
India,RK Singh
India,HH Pandya
India,AR Patel
India,Arshdeep Singh
United States of America,AGS Gous
United States of America,SR Mukkamalla
United States of America,MD Patel
United States of America,Milind Kumar
United States of America,SP Krishnamurthi
United States of America,Shubham Ranjane
United States of America,Harmeet Singh
United States of America,Mohammad Mohsin
United States of America,SC van Schalkwyk
England,PD Salt
England,JC Buttler
England,JG Bethell
England,T Banton
England,HC Brook
England,SM Curran
England,WG Jacks
England,JC Archer
Nepal,K Bhurtel
Nepal,Aasif Sheikh
Nepal,RK Paudel
Nepal,DS Airee
Nepal,Aarif Sheikh
Nepal,Lokesh Bam
Nepal,Gulsan Jha
Nepal,Karan KC
Sri Lanka,P Nissanka
Sri Lanka,K Mishara
Sri Lanka,BKG Mendis
Sri Lanka,P Rathnayake
Sri Lanka,DN Wellalage
Sri Lanka,PHKD Mendis
Sri Lanka,MD Shanaka
Sri Lanka,PWH de Silva
Ireland,PR Stirling
Ireland,GR Adair
Ireland,HT Tector
Ireland,L Tucker
Ireland,C Campher
Ireland,BF Calitz
Ireland,GJ Delany
Ireland,GH Dockrell
Ireland,MR Adair
Ireland,MJ Humphreys
Italy,J Mosca
Italy,JT Smuts
Italy,AJ Mosca
Italy,HJ Manenti
Italy,BAD Manenti
Italy,G Stewart
Italy,CJPF Kalugamage
Italy,GP Meade
Italy,TJ Draca
Italy,Ali Hasan
Oman,Aamir Kaleem
Oman,Jatinder Singh
Oman,Hammad Mirza
Oman,K Sonavale
Oman,Wasim Ali
Oman,Sufyan Mehmood
Oman,V Shukla
Oman,J Ramanandi
Oman,Nadeem Khan
Oman,Shakeel Ahmed
Oman,Shah Faisal
Zimbabwe,BJ Bennett
Zimbabwe,T Marumani
Zimbabwe,D Myers
Zimbabwe,BRM Taylor
Zimbabwe,Sikandar Raza
South Africa,AK Markram
South Africa,Q de Kock
South Africa,RD Rickelton
South Africa,D Brevis
South Africa,DA Miller
South Africa,T Stubbs
Canada,DS Bajwa
Canada,NS Dhaliwal
Canada,YS Samra
Canada,NR Kirton
Canada,S Movva
Canada,H Thaker
Canada,Saad Bin Zafar
Canada,Jaskaran Singh
Canada,D Heyliger
Canada,Kaleem Sana
Namibia,L Steenkamp
Namibia,JN Frylinck
Namibia,JN Loftie-Eaton
Namibia,MG Erasmus
Namibia,JJ Smit
Namibia,ZE Green
Namibia,R Trumpelmann
Namibia,DO Leicher
Namibia,WP Myburgh
United Arab Emirates,A Sharma
United Arab Emirates,Waseem Muhammad
United Arab Emirates,A Sharafu
United Arab Emirates,H Kaushik
United Arab Emirates,MR Kumar
United Arab Emirates,Shoaib Khan
United Arab Emirates,Muhammad Arfan
New Zealand,TL Seifert
New Zealand,FH Allen
United States of America,Shayan Jahangir
United States of America,Ehsan Adil
Australia,TM Head
Australia,JP Inglis
Australia,C Green
Australia,MT Renshaw
Australia,GJ Maxwell
Australia,MP Stoinis
Australia,C Connolly
Australia,XC Bartlett
Ireland,BJ McCarthy
West Indies,RL Chase
West Indies,JO Holder
England,J Overton
England,LA Dawson
England,AU Rashid
Oman,Mohammad Nadeem
Oman,Jay Odedra
Nepal,NK Yadav
Nepal,S Lamichhane
Nepal,LN Rajbanshi
India,SV Samson
India,CV Varun
Namibia,MB Kruger
Namibia,BM Scholtz
Namibia,B Shikongo
Namibia,M Heingo
